,idx,rule,entriesIdx,numLibTweets,numConTweets,class
20,43,"['dominance <= 0.5729166567325592', 'valence > 0.6354166567325592', 'fairness <= 0.5', 'care > 1.5', 'dominance <= 0.3854166716337204', 'valence > 0.71875']",[1335],0.0,1.0,0
21,44,"['dominance <= 0.5729166567325592', 'valence > 0.6354166567325592', 'fairness <= 0.5', 'care > 1.5', 'dominance > 0.3854166716337204']","[456, 528, 548, 602, 1284, 1394, 1404, 1509, 1837, 1982, 2819, 2852, 2868, 3026]",10.0,0.0,1
22,47,"['dominance <= 0.5729166567325592', 'valence > 0.6354166567325592', 'fairness > 0.5', 'dominance <= 0.3125', 'fairness <= 1.5']","[596, 2592]",1.0,0.0,1
23,48,"['dominance <= 0.5729166567325592', 'valence > 0.6354166567325592', 'fairness > 0.5', 'dominance <= 0.3125', 'fairness > 1.5']","[2599, 2854]",0.0,2.0,0
24,51,"['dominance <= 0.5729166567325592', 'valence > 0.6354166567325592', 'fairness > 0.5', 'dominance > 0.3125', 'valence <= 0.71875', 'dominance <= 0.5520833432674408']","[138, 215, 239, 277, 295, 323, 366, 454, 523, 530, 532, 559, 663, 783, 990, 1179, 1221, 1229, 1246, 1286, 1289, 1290, 1354, 1368, 1386, 1436, 1599, 1702, 1706, 1734, 1738, 1853, 1872, 1988, 2007, 2009, 2043, 2144, 2170, 2343, 2358, 2366, 2494, 2513, 2542, 2696, 2715, 2885, 2956, 2967, 2978]",34.0,5.0,1
25,52,"['dominance <= 0.5729166567325592', 'valence > 0.6354166567325592', 'fairness > 0.5', 'dominance > 0.3125', 'valence <= 0.71875', 'dominance > 0.5520833432674408']","[797, 1312, 2063, 2652, 2922]",1.0,3.0,0
26,54,"['dominance <= 0.5729166567325592', 'valence > 0.6354166567325592', 'fairness > 0.5', 'dominance > 0.3125', 'valence > 0.71875', 'dominance <= 0.4479166716337204']","[134, 285, 628, 844, 886, 1517, 1592, 1712, 2417, 2663, 2747, 2761, 2973, 3012]",10.0,2.0,1
27,55,"['dominance <= 0.5729166567325592', 'valence > 0.6354166567325592', 'fairness > 0.5', 'dominance > 0.3125', 'valence > 0.71875', 'dominance > 0.4479166716337204']","[20, 27, 46, 190, 473, 625, 714, 725, 817, 882, 959, 1155, 1167, 1180, 1207, 1228, 1230, 1304, 1390, 1435, 1548, 1620, 1623, 1695, 1858, 1994, 2074, 2092, 2184, 2201, 2265, 2441, 2708, 2722, 2841, 2965, 3009]",33.0,1.0,1
28,60,"['dominance > 0.5729166567325592', 'fairness <= 0.5', 'valence <= 0.46875', 'dominance <= 0.7083333432674408', 'valence <= 0.3333333283662796']","[1613, 1671, 1958, 2242, 2314, 3035]",0.0,6.0,0
29,62,"['dominance > 0.5729166567325592', 'fairness <= 0.5', 'valence <= 0.46875', 'dominance <= 0.7083333432674408', 'valence > 0.3333333283662796', 'valence <= 0.40625']","[683, 782, 1217, 1272, 1667, 2833]",2.0,2.0,0
30,63,"['dominance > 0.5729166567325592', 'fairness <= 0.5', 'valence <= 0.46875', 'dominance <= 0.7083333432674408', 'valence > 0.3333333283662796', 'valence > 0.40625']","[412, 502, 632, 1169, 1327, 1398, 1739, 2057, 2902, 2950]",2.0,6.0,0
31,64,"['dominance > 0.5729166567325592', 'fairness <= 0.5', 'valence <= 0.46875', 'dominance > 0.7083333432674408']","[658, 2217]",2.0,0.0,1
